model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
sumink/bbhqwen5,0.1521507378200951,0.29130964476405813,0.002265861,0.2600671140939597,0.4019375,0.11311502659574468
sumink/bbhqwen6,0.18929551368147626,0.2782242419852629,0.000755287,0.25838926174496646,0.35796875,0.11527593085106383
sumink/flflmillama,0.16756317681529453,0.38511286094747693,0.019637462235649546,0.29194630872483224,0.35911458333333335,0.20960771276595744
sumink/ftgpt,0.078710045,0.29190853217047663,0,0.26426174496644295,0.41384375,0.1171875
sumink/llamaft,0.16086871722584964,0.3762775648269859,0.016616314,0.2709731543624161,0.3498125,0.21143617021276595
sumink/llamamerge,0.26718107953563214,0.46316160070587903,0.015105740181268883,0.2986577181208054,0.42397916666666663,0.2589760638297872
sumink/llftfl7,0.17143512546709397,0.37864273336631166,0.010574018126888218,0.28104026845637586,0.36320833333333336,0.17428523936170212
sumink/llmer,0.3191132860809319,0.4884590875207178,0.064954683,0.2978187919463087,0.4039166666666667,0.35289228723404253
sumink/qwft,0.11965252197502627,0.30021752093452153,0,0.2525167785234899,0.3580625,0.11294880319148937
sumink/qwmer,0.22124407682726277,0.4298800979582788,0.000755287,0.28691275167785235,0.4031770833333333,0.22149268617021275
sumink/solarmer3,0.3741428299135183,0.5265990319952963,0.0581571,0.2911073825503356,0.44013541666666667,0.332280585
sumink/somer,0.29902990731259727,0.519370329,0.041540785,0.2986577181208054,0.465,0.3447473404255319
sumink/somer2,0.3132433055404106,0.5166793474130525,0.046827795,0.3036912751677852,0.46630208333333334,0.34325132978723405
sumink/somerft,0.14305819669587805,0.3093455213252133,0.014350453172205438,0.2483221476510067,0.40447916666666667,0.11170212765957446
sunbaby/BrainCog-8B-0.1-Instruct,0.4253004250943053,0.46182179983247446,0.096676737,0.3011744966442953,0.36559375,0.28582114361702127
swap-uniba/LLaMAntino-3-ANITA-8B-Inst-DPO-ITA,0.4815046299374548,0.4935698792285044,0.048338369,0.2986577181208054,0.43873958333333335,0.3723404255319149
synergetic/FrankenQwen2.5-14B,0.1869472998311148,0.6047748435655343,0,0.2701342281879195,0.3842604166666666,0.43816489361702127
talha2001/Beast-Soul-new,0.4853510906616666,0.5227143628884523,0.074018127,0.28187919463087246,0.4459270833333333,0.3101728723404255
tangledgroup/tangled-llama-pints-1.5b-v0.1-instruct,0.15090182936829835,0.31434444692284963,0.012084592145015106,0.23993288590604026,0.37613541666666667,0.11087101063829788
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,0.1724092075692496,0.3158349391752727,0.012839879,0.24161073825503357,0.3642916666666667,0.11170212765957446
tanliboy/lambda-gemma-2-9b-dpo,0.45008023156336296,0.547172399,0.094410876,0.313758389,0.40165625,0.379155585
tanliboy/lambda-qwen2.5-14b-dpo-test,0.8231215397367873,0.6393505282981286,0.5460725075528701,0.3624161073825503,0.42603125000000003,0.4847905585106383
